Airline,Flight Number,Departure City,Departure Time,Arrival City,Arrival Time,Duration,Stops,Fare Type,Fare Price,Cancellation Policy,Date Change Policy,Seat Selection,Checked Baggage,Hand Baggage,Meal,Scraped At
Akasa Air,QP-1407,Hyderabad(HYD),17:40,New Delhi(DEL),20:00,2h 20m,Not Available,Saver Fare,7479,Yes,Yes,,,,,2025-11-26 16:12:49.109774
Akasa Air,QP-1407,Hyderabad(HYD),17:40,New Delhi(DEL),20:00,2h 20m,Not Available,Flexi Fare,7996,Yes,Yes,,,,,2025-11-26 16:12:49.224293
IndiGo,6E-849,Hyderabad(HYD),15:15,New Delhi(DEL),17:50,2h 35m,Not Available,Saver Fare,8009,Yes,Yes,"Standard: Chargeable
XL seats: Chargeable",15 Kgs,7 Kgs,Chargeable,2025-11-26 16:12:50.602275
IndiGo,6E-849,Hyderabad(HYD),15:15,New Delhi(DEL),17:50,2h 35m,Not Available,Flexi Plus,8534,Yes,Yes,"Standard: FREE
XL seats: Chargeable",15 Kgs,7 Kgs,Complimentary,2025-11-26 16:12:50.737100
IndiGo,6E-849,Hyderabad(HYD),15:15,New Delhi(DEL),17:50,2h 35m,Not Available,Super 6E,9584,Yes,Yes,"Standard: FREE
XL seats: FREE",20 Kg,7 Kgs,Complimentary,2025-11-26 16:12:50.863631
IndiGo,6E-849,Hyderabad(HYD),15:15,New Delhi(DEL),17:50,2h 35m,Not Available,Unknown,Not Available,No,No,Not Available,Not Available,Not Available,Not Available,2025-11-26 16:12:50.887341
IndiGo,6E-962,Hyderabad(HYD),17:00,New Delhi(DEL),19:20,2h 20m,Not Available,Saver Fare,8009,Yes,Yes,"Standard: Chargeable
XL seats: Chargeable",15 Kgs,7 Kgs,Chargeable,2025-11-26 16:12:52.202535
IndiGo,6E-962,Hyderabad(HYD),17:00,New Delhi(DEL),19:20,2h 20m,Not Available,Flexi Plus,8534,Yes,Yes,"Standard: FREE
XL seats: Chargeable",15 Kgs,7 Kgs,Complimentary,2025-11-26 16:12:52.270866
IndiGo,6E-962,Hyderabad(HYD),17:00,New Delhi(DEL),19:20,2h 20m,Not Available,Super 6E,9584,Yes,Yes,"Standard: FREE
XL seats: FREE",20 Kg,7 Kgs,Complimentary,2025-11-26 16:12:52.335901
IndiGo,6E-962,Hyderabad(HYD),17:00,New Delhi(DEL),19:20,2h 20m,Not Available,Unknown,Not Available,No,No,Not Available,Not Available,Not Available,Not Available,2025-11-26 16:12:52.348562
IndiGo,6E-6043,Hyderabad(HYD),13:45,New Delhi(DEL),16:05,2h 20m,Not Available,Saver Fare,8639,Yes,Yes,"Standard: Chargeable
XL seats: Chargeable",15 Kgs,7 Kgs,Chargeable,2025-11-26 16:12:53.593059
IndiGo,6E-6043,Hyderabad(HYD),13:45,New Delhi(DEL),16:05,2h 20m,Not Available,Flexi Plus,9164,Yes,Yes,"Standard: FREE
XL seats: Chargeable",15 Kgs,7 Kgs,Complimentary,2025-11-26 16:12:53.658469
IndiGo,6E-6043,Hyderabad(HYD),13:45,New Delhi(DEL),16:05,2h 20m,Not Available,Super 6E,10214,Yes,Yes,"Standard: FREE
XL seats: FREE",20 Kg,7 Kgs,Complimentary,2025-11-26 16:12:53.751811
IndiGo,6E-6043,Hyderabad(HYD),13:45,New Delhi(DEL),16:05,2h 20m,Not Available,Unknown,Not Available,No,No,Not Available,Not Available,Not Available,Not Available,2025-11-26 16:12:53.770467
IndiGo,6E-2317,Hyderabad(HYD),18:30,New Delhi(DEL),20:45,2h 15m,Not Available,Saver Fare,8639,Yes,Yes,"Standard: Chargeable
XL seats: Chargeable",15 Kgs,7 Kgs,Chargeable,2025-11-26 16:12:54.967548
IndiGo,6E-2317,Hyderabad(HYD),18:30,New Delhi(DEL),20:45,2h 15m,Not Available,Flexi Plus,9164,Yes,Yes,"Standard: FREE
XL seats: Chargeable",15 Kgs,7 Kgs,Complimentary,2025-11-26 16:12:55.032875
IndiGo,6E-2317,Hyderabad(HYD),18:30,New Delhi(DEL),20:45,2h 15m,Not Available,Super 6E,10214,Yes,Yes,"Standard: FREE
XL seats: FREE",20 Kg,7 Kgs,Complimentary,2025-11-26 16:12:55.217046
IndiGo,6E-2317,Hyderabad(HYD),18:30,New Delhi(DEL),20:45,2h 15m,Not Available,Unknown,Not Available,No,No,Not Available,Not Available,Not Available,Not Available,2025-11-26 16:12:55.231413
IndiGo,6E-2256,Hyderabad(HYD),21:30,New Delhi(DEL),23:50,2h 20m,Not Available,Saver Fare,8639,Yes,Yes,"Standard: Chargeable
XL seats: Chargeable",15 Kgs,7 Kgs,Chargeable,2025-11-26 16:12:56.469037
IndiGo,6E-2256,Hyderabad(HYD),21:30,New Delhi(DEL),23:50,2h 20m,Not Available,Flexi Plus,9164,Yes,Yes,"Standard: FREE
XL seats: Chargeable",15 Kgs,7 Kgs,Complimentary,2025-11-26 16:12:56.535396
IndiGo,6E-2256,Hyderabad(HYD),21:30,New Delhi(DEL),23:50,2h 20m,Not Available,Super 6E,10214,Yes,Yes,"Standard: FREE
XL seats: FREE",20 Kg,7 Kgs,Complimentary,2025-11-26 16:12:56.602231
IndiGo,6E-2256,Hyderabad(HYD),21:30,New Delhi(DEL),23:50,2h 20m,Not Available,Unknown,Not Available,No,No,Not Available,Not Available,Not Available,Not Available,2025-11-26 16:12:56.614949
Air India,AI-2541,Hyderabad(HYD),15:35,New Delhi(DEL),18:00,2h 25m,Not Available,Value,8794,Yes,Yes,"Standard: Limited Free
Preferred: Chargeable",15 Kgs,7 Kg,Complimentary,2025-11-26 16:12:57.901425
Air India,AI-2541,Hyderabad(HYD),15:35,New Delhi(DEL),18:00,2h 25m,Not Available,Classic,9320,Yes,Yes,"Standard: Limited Free
Preferred: Chargeable",20 Kgs,7 Kg,Complimentary,2025-11-26 16:12:57.966103
Air India,AI-2541,Hyderabad(HYD),15:35,New Delhi(DEL),18:00,2h 25m,Not Available,Flex,10367,Yes,Yes,"Standard: Limited Free
Preferred: Chargeable",25 Kgs,7 Kg,Complimentary,2025-11-26 16:12:58.037127
Air India,AI-2541,Hyderabad(HYD),15:35,New Delhi(DEL),18:00,2h 25m,Not Available,Unknown,Not Available,No,No,Not Available,Not Available,Not Available,Not Available,2025-11-26 16:12:58.050168
Air India,AI-2860,Hyderabad(HYD),07:20,New Delhi(DEL),09:45,2h 25m,Not Available,Value,9758,Yes,Yes,"Standard: Limited Free
Preferred: Chargeable",15 Kgs,7 Kg,Complimentary,2025-11-26 16:12:59.294707
Air India,AI-2860,Hyderabad(HYD),07:20,New Delhi(DEL),09:45,2h 25m,Not Available,Classic,10295,Yes,Yes,"Standard: Limited Free
Preferred: Chargeable",20 Kgs,7 Kg,Complimentary,2025-11-26 16:12:59.367975
Air India,AI-2860,Hyderabad(HYD),07:20,New Delhi(DEL),09:45,2h 25m,Not Available,Flex,11363,Yes,Yes,"Standard: Limited Free
Preferred: Chargeable",25 Kgs,7 Kg,Complimentary,2025-11-26 16:12:59.434155
Air India,AI-2860,Hyderabad(HYD),07:20,New Delhi(DEL),09:45,2h 25m,Not Available,Unknown,Not Available,No,No,Not Available,Not Available,Not Available,Not Available,2025-11-26 16:12:59.446569
IndiGo,6E-240,Hyderabad(HYD),10:30,New Delhi(DEL),13:00,2h 30m,Not Available,Saver Fare,10004,Yes,Yes,"Standard: Chargeable
XL seats: Chargeable",15 Kgs,7 Kgs,Chargeable,2025-11-26 16:13:00.710677
IndiGo,6E-240,Hyderabad(HYD),10:30,New Delhi(DEL),13:00,2h 30m,Not Available,Flexi Plus,10529,Yes,Yes,"Standard: FREE
XL seats: Chargeable",15 Kgs,7 Kgs,Complimentary,2025-11-26 16:13:00.814228
IndiGo,6E-240,Hyderabad(HYD),10:30,New Delhi(DEL),13:00,2h 30m,Not Available,Super 6E,11579,Yes,Yes,"Standard: FREE
XL seats: FREE",20 Kg,7 Kgs,Complimentary,2025-11-26 16:13:00.947122
IndiGo,6E-240,Hyderabad(HYD),10:30,New Delhi(DEL),13:00,2h 30m,Not Available,Unknown,Not Available,No,No,Not Available,Not Available,Not Available,Not Available,2025-11-26 16:13:00.963613
IndiGo,6E-5233,Hyderabad(HYD),11:55,New Delhi(DEL),14:20,2h 25m,Not Available,Saver Fare,10004,Yes,Yes,"Standard: Chargeable
XL seats: Chargeable",15 Kgs,7 Kgs,Chargeable,2025-11-26 16:13:02.233355
IndiGo,6E-5233,Hyderabad(HYD),11:55,New Delhi(DEL),14:20,2h 25m,Not Available,Flexi Plus,10529,Yes,Yes,"Standard: FREE
XL seats: Chargeable",15 Kgs,7 Kgs,Complimentary,2025-11-26 16:13:02.341095
IndiGo,6E-5233,Hyderabad(HYD),11:55,New Delhi(DEL),14:20,2h 25m,Not Available,Super 6E,11579,Yes,Yes,"Standard: FREE
XL seats: FREE",20 Kg,7 Kgs,Complimentary,2025-11-26 16:13:02.455313
IndiGo,6E-5233,Hyderabad(HYD),11:55,New Delhi(DEL),14:20,2h 25m,Not Available,Unknown,Not Available,No,No,Not Available,Not Available,Not Available,Not Available,2025-11-26 16:13:02.476663
IndiGo,6E-2233,Hyderabad(HYD),20:00,New Delhi(DEL),22:20,2h 20m,Not Available,Saver Fare,10739,Yes,Yes,"Standard: Chargeable
XL seats: Chargeable",15 Kgs,7 Kgs,Chargeable,2025-11-26 16:13:03.685078
IndiGo,6E-2233,Hyderabad(HYD),20:00,New Delhi(DEL),22:20,2h 20m,Not Available,Flexi Plus,11264,Yes,Yes,"Standard: FREE
XL seats: Chargeable",15 Kgs,7 Kgs,Complimentary,2025-11-26 16:13:03.752512
IndiGo,6E-2233,Hyderabad(HYD),20:00,New Delhi(DEL),22:20,2h 20m,Not Available,Super 6E,12314,Yes,Yes,"Standard: FREE
XL seats: FREE",20 Kg,7 Kgs,Complimentary,2025-11-26 16:13:03.868153
IndiGo,6E-2233,Hyderabad(HYD),20:00,New Delhi(DEL),22:20,2h 20m,Not Available,Unknown,Not Available,No,No,Not Available,Not Available,Not Available,Not Available,2025-11-26 16:13:03.889479
Air India,AI-2520,Hyderabad(HYD),20:00,New Delhi(DEL),22:30,2h 30m,Not Available,Value,12883,Yes,Yes,"Standard: Limited Free
Preferred: Chargeable",15 Kgs,7 Kg,Complimentary,2025-11-26 16:13:05.090945
Air India,AI-2520,Hyderabad(HYD),20:00,New Delhi(DEL),22:30,2h 30m,Not Available,Classic,13407,Yes,Yes,"Standard: Limited Free
Preferred: Chargeable",20 Kgs,7 Kg,Complimentary,2025-11-26 16:13:05.157960
Air India,AI-2520,Hyderabad(HYD),20:00,New Delhi(DEL),22:30,2h 30m,Not Available,Flex,14454,Yes,Yes,"Standard: Limited Free
Preferred: Chargeable",25 Kgs,7 Kg,Complimentary,2025-11-26 16:13:05.246302
Air India,AI-2520,Hyderabad(HYD),20:00,New Delhi(DEL),22:30,2h 30m,Not Available,Unknown,Not Available,No,No,Not Available,Not Available,Not Available,Not Available,2025-11-26 16:13:05.265638
Air India,AI-2870,Hyderabad(HYD),21:25,New Delhi(DEL),23:45,2h 20m,Not Available,Value,12883,Yes,Yes,"Standard: Limited Free
Preferred: Chargeable",15 Kgs,7 Kg,Complimentary,2025-11-26 16:13:06.479502
Air India,AI-2870,Hyderabad(HYD),21:25,New Delhi(DEL),23:45,2h 20m,Not Available,Classic,13407,Yes,Yes,"Standard: Limited Free
Preferred: Chargeable",20 Kgs,7 Kg,Complimentary,2025-11-26 16:13:06.545831
